tract_a	tract_b	adjacency
53049950800	53049950800	1
53049950300	53049950800	1
53049950700	53049950800	1
53049950400	53049950800	1
53049950800	53049990100	1
53061051701	53061051701	1
53061051701	53061051702	1
53061051701	53061051802	1
53061051500	53061051701	1
53061051400	53061051701	1
53061051601	53061051701	1
53061051602	53061051701	1
53061051918	53061051918	1
53033021804	53061051918	1
53033021802	53061051918	1
53033021803	53061051918	1
53033021700	53061051918	1
53061051917	53061051918	1
53061051916	53061051918	1
53061051918	53061051925	1
53061052006	53061052006	1
53061052006	53061052007	1
53061052005	53061052006	1
53061052003	53061052006	1
53061052105	53061052105	1
53061052105	53061052402	1
53061052105	53061053801	1
53061052105	53061052204	1
53061052105	53061052108	1
53061041500	53061052105	1
53061041601	53061052105	1
53061041607	53061052105	1
53061052105	53061052401	1
53061052105	53061052118	1
53061052104	53061052105	1
53061052105	53061052502	1
53061052105	53061052113	1
53061052105	53061052302	1
53061041608	53061052105	1
53061052105	53061052112	1
53061052105	53061052209	1
53061052203	53061052203	1
53061052203	53061052206	1
53061052203	53061052208	1
53061052203	53061052204	1
53061052203	53061052302	1
53061052203	53061052207	1
53061052206	53061052206	1
53061052206	53061052301	1
53061052206	53061052302	1
53061052206	53061052207	1
53061052206	53061053602	1
53061052301	53061052301	1
53061052301	53061052401	1
53061052301	53061052502	1
53061052301	53061052302	1
53061052301	53061052607	1
53061052301	53061053602	1
53061052301	53061052606	1
53061052301	53061053603	1
53061052701	53061052701	1
53061052701	53061052803	1
53061052701	53061052709	1
53061052701	53061052806	1
53061052701	53061053507	1
53061052701	53061053504	1
53061052701	53061053505	1
53061052701	53061052804	1
53061052701	53061053509	1
53061052402	53061052402	1
53061052401	53061052402	1
53061052302	53061052402	1
53061052603	53061052603	1
53061052603	53061052604	1
53061052603	53061052705	1
53061052603	53061052605	1
53061052603	53061052606	1
53061052603	53061052707	1
53061052603	53061053603	1
53061052604	53061052604	1
53061052503	53061052604	1
53061052604	53061052605	1
53061052604	53061052607	1
53061052504	53061052604	1
53061052604	53061052606	1
53061052604	53061052706	1
53061052604	53061052707	1
53061052803	53061052803	1
53061052803	53061940001	1
53061052803	53061053507	1
53061052803	53061053101	1
53061052803	53061052804	1
53061052803	53061053102	1
53061052803	53061053509	1
53011040508	53011040508	1
53011040508	53011040509	1
53011040508	53011040510	1
53011040507	53011040508	1
53053073124	53053073124	1
53053073116	53053073124	1
53053071407	53053073124	1
53053073113	53053073124	1
53053073118	53053073124	1
53053073124	53053073125	1
53011040101	53011040101	1
53011040101	53011040202	1
53011040101	53011040504	1
53011040101	53011040102	1
53011040101	53059950100	1
53011040101	53015001501	1
53011040202	53011040202	1
53011040202	53011040203	1
53011040201	53011040202	1
53011040102	53011040202	1
53011040202	53015001501	1
53011040407	53011040407	1
53011040407	53011040505	1
53011040407	53011040408	1
53011040407	53011040414	1
53011040407	53011040415	1
53011040407	53011040416	1
53011040407	53011040413	1
53011040505	53011040505	1
53011040505	53011040603	1
53011040408	53011040505	1
53011040504	53011040505	1
53011040505	53011040710	1
53011040416	53011040505	1
53011040603	53011040603	1
53011040504	53011040603	1
53011040603	53011040605	1
53011040603	53011040604	1
53011040511	53011040603	1
53011040510	53011040603	1
53011040603	53011040710	1
53011040603	53011040712	1
53063010303	53063010303	1
53063010301	53063010303	1
53063010303	53063010305	1
53063010303	53063010503	1
53063010303	53063010304	1
53063010303	53065951300	1
53063010303	53065951400	1
53011040703	53011040703	1
53011040703	53011040706	1
53011040703	53011040709	1
53011040703	53011041104	1
53011040703	53011041312	1
53011040703	53011041313	1
53011040703	53011040711	1
53011040703	53011040710	1
53011040703	53011040707	1
53011040703	53011040806	1
53011040706	53011040706	1
53011040604	53011040706	1
53011040706	53011041312	1
53011040706	53011041326	1
53011040706	53011040707	1
53063012901	53063012901	1
53063012901	53063012902	1
53063012901	53063013000	1
53063012901	53063013100	1
53063011800	53063012901	1
53063011702	53063012901	1
53063012701	53063012901	1
53063012902	53063012902	1
53063012902	53063013000	1
53063012402	53063012902	1
53063011800	53063012902	1
53063012701	53063012902	1
53063012702	53063012902	1
53063012802	53063012802	1
53063012401	53063012802	1
53063012402	53063012802	1
53063012500	53063012802	1
53063012600	53063012802	1
53063012801	53063012802	1
